"filename", "language", "JSON", "Ini", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\package-lock.json", "JSON", 17447, 0, 0, 0, 0, 0, 0, 1, 17448
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\package.json", "JSON", 98, 0, 0, 0, 0, 0, 0, 1, 99
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\public\index.html", "HTML", 0, 0, 0, 0, 0, 39, 4, 6, 49
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\public\moto365logo.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\.picasa.ini", "Ini", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\AccCarousel.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\AccMain.js", "JavaScript", 0, 0, 67, 0, 0, 0, 1, 13, 81
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Accesories.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\AccesoriesExpanded.js", "JavaScript", 0, 0, 132, 0, 0, 0, 2, 6, 140
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountCustomer.js", "JavaScript", 0, 0, 182, 0, 0, 0, 32, 15, 229
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountGeneral.js", "JavaScript", 0, 0, 112, 0, 0, 0, 8, 5, 125
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountHelp.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountMain.js", "JavaScript", 0, 0, 36, 0, 0, 0, 1, 6, 43
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountReward.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\AccountSecurity.js", "JavaScript", 0, 0, 32, 0, 0, 0, 6, 3, 41
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\EditAccount\PersonalDetails.js", "JavaScript", 0, 0, 178, 0, 0, 0, 37, 14, 229
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\Account\PicturesWall.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\App.css", "CSS", 0, 0, 0, 0, 3761, 0, 92, 137, 3990
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\App.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 4, 106
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\App.test.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
